,folder,Model,GenderSelf,Feminine,Attractive,LL,LL_F,LL_M,dist_centre_F,dist_centre_H,dist_centre
84,CFD,AM-229,M,1.538461538,3.48,-277.25732804840914,,-305.9641750054426,314.4710388183594,422.3265686035156,120.11758422851562
85,CFD,AM-230,M,1.739130435,2.173913043,-304.42518618602537,,-323.56604858369576,280.6348876953125,491.7074279785156,197.52371215820312
86,CFD,AM-231,M,1.379310345,3.571428571,-282.4549532238533,,-308.63525838020877,724.2160034179688,75.94464111328125,339.9886474609375
87,CFD,AM-232,M,1.153846154,2.16,-309.63894978436997,,-287.46097426249787,573.7665405273438,171.17138671875,197.96717834472656
88,CFD,AM-233,M,1.153846154,1.857142857,-289.25140695956736,,-292.7482237080851,649.8428344726562,101.91864013671875,265.52685546875
89,CFD,AM-234,M,1.653846154,2.692307692,-283.7060830942802,,-273.0866660089559,391.5125427246094,343.82647705078125,80.75393676757812
90,CFD,AM-235,M,1.52,2.36,-305.36290351844167,,-297.5537672946823,720.9024047851562,71.22402954101562,336.1199645996094
91,CFD,AM-236,M,1.428571429,2.888888889,-293.01038488077444,,-302.8928506393602,630.5308837890625,178.70140075683594,265.48822021484375
92,CFD,AM-237,M,2,3.269230769,-301.7554290409157,,-285.42581845363765,609.0409545898438,145.6416778564453,231.68560791015625
93,CFD,AM-238,M,1.769230769,3.12,-297.5010172415385,,-304.6664021173597,655.6678466796875,123.94453430175781,280.2150573730469
94,CFD,AM-239,M,1.92,3.24,-310.47320503171534,,-275.10838265588484,752.7540283203125,114.44720458984375,371.75811767578125
95,CFD,AM-240,M,1.384615385,2.36,-297.3444336615639,,-319.5147518914529,603.356689453125,160.1527862548828,227.21812438964844
96,CFD,AM-241,M,1.576923077,3.538461538,-313.7857392825411,,-282.46538065505894,735.2501220703125,81.83810424804688,350.309326171875
97,CFD,AM-242,M,1.48,2.4,-325.17602876236145,,-284.64104164726575,579.2244262695312,149.83050537109375,195.32557678222656
98,CFD,AM-243,M,1.96,3.68,-298.9163179431812,,-325.0034500338287,654.6126098632812,150.75509643554688,282.1168518066406
99,CFD,AM-244,M,1.464285714,2.678571429,-318.58474860811896,,-288.1628296102979,373.6075134277344,402.0429382324219,157.5797882080078
100,CFD,AM-245,M,1.28,3.6,-291.88967080113224,,-335.7146102884702,269.7257995605469,960.8311767578125,636.5250244140625
101,CFD,AM-246,M,1.892857143,3.074074074,-314.6876893241097,,-303.6039259931599,137.54908752441406,832.5679931640625,507.0600280761719
